customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
2239-CFOUJ,male,0,Yes,Yes,1.0,Yes,No,no,No,No,No,No,No,No,One year,No,Manual,20.4,20.4,No
8046-DNVTL,male,0,Yes,No,62.0,No,No,dsl,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),38.6,2345.55,No
2209-XADXF,female,0,No,No,1.0,No,No,dsl,No,No,No,No,No,No,Monthly,No,Bank transfer (automatic),25.25,25.25,No
6620-JDYNW,female,0,No,No,18.0,Yes,Yes,dsl,Yes,No,Yes,No,No,No,Monthly,Yes,Manual,60.6,1156.35,No
1891-FZYSA,male,1,Yes,No,69.0,Yes,Yes,fiber optic,No,Yes,No,No,Yes,No,Monthly,Yes,Manual,89.95,6143.15,Yes
4770-UEZOX,male,0,No,No,2.0,Yes,No,fiber optic,No,Yes,No,No,No,No,Monthly,Yes,Manual,74.75,144.8,No
1038-RQOST,male,0,Yes,Yes,19.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,20.6,414.95,No
7613-LLQFO,male,0,No,No,12.0,Yes,Yes,fiber optic,No,No,No,No,Yes,No,Monthly,Yes,Manual,84.45,1059.55,Yes
4568-TTZRT,male,0,No,No,9.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,20.4,181.8,No
9513-DXHDA,male,0,No,No,27.0,Yes,No,dsl,Yes,No,Yes,Yes,Yes,Yes,One year,No,Manual,81.7,2212.55,No
2640-PMGFL,male,0,No,Yes,27.0,Yes,Yes,fiber optic,No,No,No,Yes,No,No,Monthly,Yes,Manual,79.5,2180.55,Yes
3801-HMYNL,male,0,Yes,Yes,1.0,Yes,No,fiber optic,No,No,No,No,Yes,Yes,Monthly,No,Manual,89.15,89.15,Yes
0516-QREYC,female,1,No,No,24.0,Yes,No,no,No,No,No,No,No,No,Monthly,Yes,Manual,20.3,459.95,No
9685-WKZGT,male,1,No,No,14.0,Yes,Yes,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,74.95,1036.75,Yes
6022-UGGSO,female,1,No,No,32.0,Yes,No,fiber optic,No,Yes,No,No,No,No,Monthly,Yes,Manual,74.4,2276.95,Yes
8084-OIVBS,female,0,No,No,11.0,Yes,No,no,No,No,No,No,No,No,One year,No,Manual,20.0,211.95,No
8896-BQTTI,male,0,No,No,1.0,Yes,Yes,no,No,No,No,No,No,No,Monthly,Yes,Manual,25.0,25.0,No
3865-QBWSJ,male,1,No,Yes,38.0,Yes,Yes,fiber optic,Yes,No,No,No,No,No,Monthly,Yes,Manual,80.45,3162.65,No
3352-RICWQ,female,0,Yes,Yes,9.0,Yes,No,no,No,No,No,No,No,No,Two year,No,Manual,19.75,210.65,No
2160-GPFXD,male,0,Yes,Yes,54.0,Yes,Yes,dsl,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),65.65,3566.7,No
2065-MMKGR,female,0,No,No,29.0,Yes,Yes,dsl,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),71.0,2080.1,No
5857-TYBCJ,male,1,Yes,No,44.0,Yes,Yes,fiber optic,No,No,Yes,No,Yes,No,Monthly,Yes,Manual,89.2,4040.2,No
1498-NHTLT,male,0,Yes,Yes,59.0,Yes,No,dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Manual,86.75,5186.0,No
4484-CGXFK,female,0,No,No,3.0,Yes,No,dsl,No,No,No,No,No,Yes,Monthly,Yes,Manual,55.3,196.15,Yes
1402-PTHGN,female,0,Yes,Yes,18.0,Yes,No,dsl,Yes,Yes,No,Yes,No,No,One year,Yes,Manual,61.5,1087.45,No
4176-RELJR,male,1,No,No,67.0,Yes,Yes,no,No,No,No,No,No,No,Two year,No,Credit card (automatic),25.1,1672.15,No
6214-EDAKZ,female,0,Yes,Yes,22.0,Yes,No,dsl,No,Yes,No,Yes,No,No,Monthly,No,Manual,55.15,1206.05,Yes
5199-FPUSP,male,0,No,Yes,33.0,No,No,dsl,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),34.05,1113.95,No
6377-KSLXC,male,0,No,No,5.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,19.95,107.05,No
1796-JANOW,female,0,No,No,2.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,19.95,38.15,No
0238-WHBIQ,male,0,Yes,Yes,72.0,Yes,Yes,dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.7,6339.3,No
8735-NBLWT,male,0,No,Yes,9.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,20.4,184.1,No
6651-RLGGM,male,0,Yes,Yes,67.0,Yes,Yes,no,No,No,No,No,No,No,Two year,No,Manual,26.3,1688.9,No
6127-ISGTU,female,0,Yes,No,16.0,Yes,Yes,fiber optic,No,No,No,No,Yes,No,Monthly,Yes,Manual,84.95,1378.25,Yes
1614-JBEBI,female,0,No,No,8.0,Yes,No,no,No,No,No,No,No,No,Monthly,Yes,Manual,20.7,137.6,No
8740-XLHDR,male,0,No,No,5.0,No,No,dsl,Yes,Yes,Yes,Yes,No,No,Monthly,Yes,Manual,43.25,219.0,Yes
1208-DNHLN,male,0,Yes,Yes,23.0,Yes,Yes,dsl,No,No,No,No,No,No,One year,Yes,Credit card (automatic),48.35,1067.15,Yes
1761-AEZZR,male,0,No,No,1.0,Yes,No,fiber optic,No,No,No,No,Yes,No,Monthly,Yes,Manual,79.55,79.55,Yes
3923-CSIHK,female,1,Yes,No,50.0,Yes,No,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,71.05,3444.85,Yes
5696-EXCYS,male,0,No,No,17.0,Yes,No,no,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.45,369.05,No
5795-KTGUD,female,0,Yes,No,68.0,Yes,Yes,fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.8,7553.6,No
7120-RFMVS,male,0,No,No,1.0,Yes,Yes,fiber optic,No,No,No,No,Yes,No,Monthly,No,Manual,84.5,84.5,Yes
7924-GJZFI,female,1,Yes,No,25.0,Yes,No,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,69.3,1813.1,No
4702-HDRKD,male,0,No,No,67.0,No,No,dsl,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),49.35,3321.35,No
8512-WIWYV,male,0,No,No,32.0,Yes,No,no,No,No,No,No,No,No,One year,No,Credit card (automatic),20.35,707.5,No
5897-ZYEKH,female,1,Yes,No,67.0,Yes,Yes,fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Manual,105.6,7112.15,No
5456-ITGIC,male,1,Yes,No,72.0,No,No,dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),64.45,4641.1,No
7317-GGVPB,male,0,Yes,No,71.0,Yes,Yes,fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.6,7690.9,Yes
1406-PUQVY,male,0,No,Yes,1.0,Yes,No,dsl,No,Yes,No,No,No,No,Monthly,Yes,Manual,49.9,49.9,No
1322-AGOQM,male,0,No,No,46.0,No,No,dsl,No,Yes,No,No,No,No,Monthly,No,Bank transfer (automatic),30.3,1380.1,Yes
3677-IYRBF,female,1,No,No,2.0,No,No,dsl,No,No,Yes,No,No,No,Monthly,Yes,Manual,30.4,78.65,Yes
5692-FPTAH,female,0,No,No,1.0,Yes,No,dsl,No,No,No,No,No,No,Monthly,Yes,Manual,45.4,45.4,Yes
9114-AAFQH,female,0,Yes,No,48.0,Yes,No,dsl,No,Yes,Yes,No,No,Yes,One year,Yes,Manual,65.65,3094.65,No
8715-KKTFG,female,0,Yes,No,61.0,Yes,Yes,fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),103.3,6518.35,No
1550-LOAHA,female,0,Yes,No,32.0,Yes,No,fiber optic,No,Yes,No,No,No,Yes,Monthly,No,Bank transfer (automatic),84.15,2585.95,Yes
1728-BQDMA,female,0,No,No,2.0,Yes,No,dsl,No,No,No,No,No,No,Monthly,No,Manual,44.45,82.7,No
0268-QKIWO,female,0,No,No,3.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,19.75,58.85,Yes
0876-WDUUZ,female,0,No,No,5.0,Yes,No,fiber optic,No,No,No,Yes,No,Yes,Monthly,Yes,Credit card (automatic),85.4,425.9,Yes
5117-ZSMHQ,female,0,Yes,Yes,71.0,Yes,Yes,dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),89.9,6342.7,No
5151-HQRDG,male,0,Yes,No,37.0,Yes,Yes,dsl,Yes,No,No,No,No,No,Monthly,Yes,Manual,55.05,2030.75,No
0960-HUWBM,male,0,Yes,Yes,65.0,Yes,Yes,fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.1,6700.05,No
6465-GSRCL,female,0,No,Yes,67.0,Yes,Yes,fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),106.6,7244.7,No
0617-FHSGK,male,0,No,Yes,49.0,Yes,Yes,fiber optic,No,No,No,No,No,No,Monthly,No,Credit card (automatic),75.2,3678.3,Yes
0263-FJTQO,male,0,Yes,Yes,50.0,Yes,Yes,dsl,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),70.5,3486.65,No
7319-ZNRTR,male,0,Yes,Yes,25.0,Yes,No,no,No,No,No,No,No,No,One year,No,Manual,19.6,411.15,No
2858-MOFSQ,female,0,No,Yes,17.0,Yes,Yes,dsl,No,No,Yes,No,No,No,One year,Yes,Manual,55.85,937.5,Yes
7503-EPSZW,female,0,Yes,Yes,64.0,Yes,Yes,no,No,No,No,No,No,No,Two year,Yes,Manual,24.05,1559.15,No
7089-XXAYG,male,0,Yes,No,25.0,No,No,dsl,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),38.1,970.4,No
8118-LSUEL,male,1,No,No,23.0,Yes,Yes,fiber optic,No,Yes,Yes,No,Yes,Yes,Monthly,Yes,Manual,106.4,2483.5,Yes
8070-AAWZP,male,1,Yes,No,24.0,No,No,dsl,No,No,Yes,Yes,No,No,Monthly,No,Manual,34.25,828.2,No
1666-JXLKU,female,0,No,No,37.0,Yes,Yes,fiber optic,No,No,Yes,No,Yes,Yes,Monthly,Yes,Manual,100.05,3810.55,No
7855-DIWPO,female,0,No,No,21.0,Yes,No,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,68.65,1493.2,No
5133-POWUA,male,0,No,No,1.0,Yes,No,dsl,No,No,No,No,No,No,Monthly,Yes,Manual,45.8,45.8,No
5652-MSDEY,female,0,No,No,10.0,Yes,Yes,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,75.75,777.3,No
7005-CCBKV,male,0,No,No,6.0,Yes,No,fiber optic,No,Yes,No,No,No,Yes,Monthly,Yes,Manual,84.4,556.35,Yes
1810-BOHSY,male,0,Yes,No,51.0,Yes,Yes,fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),96.4,4911.05,No
1784-BXEFA,female,0,No,No,10.0,Yes,No,no,No,No,No,No,No,No,Monthly,Yes,Manual,20.55,187.35,No
7351-MHQVU,female,0,No,No,6.0,No,No,dsl,Yes,Yes,No,Yes,No,Yes,Monthly,No,Credit card (automatic),50.95,307.6,No
9224-VTYID,male,0,Yes,Yes,47.0,Yes,Yes,dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Manual,90.5,4318.35,No
9500-IWPXQ,female,0,Yes,Yes,61.0,Yes,Yes,dsl,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Manual,79.4,4820.55,No
5762-TJXGK,female,0,No,No,52.0,No,No,dsl,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),58.75,3038.55,No
4504-YOULA,female,0,Yes,Yes,35.0,Yes,Yes,dsl,Yes,Yes,No,No,No,No,Monthly,Yes,Credit card (automatic),59.45,2136.9,No
5569-IDSEY,male,0,Yes,No,71.0,Yes,Yes,fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.7,7472.15,No
4250-FDVOU,female,0,No,No,6.0,Yes,No,dsl,Yes,Yes,No,No,No,No,Monthly,No,Manual,56.25,389.1,Yes
7284-ZZLOH,male,0,Yes,No,45.0,Yes,No,dsl,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),53.3,2296.25,No
5277-ZLOOR,female,1,No,No,2.0,Yes,Yes,fiber optic,No,No,No,No,Yes,No,Monthly,Yes,Manual,85.55,187.45,Yes
2141-RRYGO,female,0,No,No,4.0,Yes,No,dsl,No,Yes,No,No,Yes,Yes,Monthly,Yes,Bank transfer (automatic),68.65,261.25,Yes
1777-JYQPJ,male,0,No,No,2.0,No,No,dsl,No,No,No,No,No,No,Monthly,No,Manual,24.3,38.45,No
6376-GAHQE,male,0,No,No,4.0,Yes,No,fiber optic,No,No,No,No,Yes,No,Monthly,No,Manual,77.85,299.2,Yes
3401-URHDA,male,0,No,No,51.0,Yes,Yes,dsl,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),59.9,3043.6,No
1599-EAHXY,male,0,Yes,Yes,60.0,Yes,Yes,no,No,No,No,No,No,No,One year,No,Credit card (automatic),23.95,1506.4,No
8631-XVRZL,male,0,No,No,9.0,Yes,No,no,No,No,No,No,No,No,One year,Yes,Manual,20.15,163.7,No
5052-PNLOS,male,0,No,No,3.0,Yes,Yes,fiber optic,No,Yes,Yes,No,Yes,Yes,Monthly,Yes,Bank transfer (automatic),105.35,323.25,Yes
3853-LYGAM,male,0,No,No,17.0,Yes,Yes,fiber optic,No,No,Yes,Yes,No,Yes,Monthly,Yes,Bank transfer (automatic),95.65,1640.0,No
6979-ZNSFF,female,0,No,No,8.0,Yes,Yes,fiber optic,No,No,No,No,Yes,No,Monthly,Yes,Manual,87.05,762.1,Yes
5751-USDBL,male,0,Yes,Yes,46.0,Yes,No,dsl,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Manual,81.0,3846.35,No
5680-LQOGP,female,0,No,No,68.0,Yes,No,dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),82.45,5646.6,No
2386-LAHRK,male,0,No,No,1.0,Yes,No,dsl,No,No,No,No,Yes,No,Monthly,Yes,Manual,53.5,53.5,Yes
8189-DUKMV,female,0,Yes,No,4.0,Yes,No,no,No,No,No,No,No,No,One year,No,Bank transfer (automatic),20.5,79.05,No
6032-IGALN,female,0,No,No,1.0,No,No,dsl,No,No,No,No,No,No,Monthly,Yes,Manual,25.1,25.1,Yes
9931-DCEZH,male,0,No,Yes,28.0,Yes,No,dsl,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),54.4,1516.6,No
1898-JSNDC,female,0,No,No,39.0,Yes,No,dsl,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),58.6,2224.5,No
0315-LVCRK,male,0,No,No,11.0,Yes,No,fiber optic,No,No,Yes,No,No,Yes,Monthly,No,Manual,84.8,888.75,No
3911-RSNHI,female,0,Yes,No,71.0,No,No,dsl,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),61.4,4310.35,No
2410-CIYFZ,male,0,No,Yes,2.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,20.4,42.9,No
4248-HCETZ,male,1,Yes,No,30.0,Yes,No,fiber optic,No,Yes,Yes,No,No,No,Monthly,Yes,Manual,79.65,2365.15,Yes
5505-OVWQW,female,0,No,No,17.0,Yes,No,no,No,No,No,No,No,No,One year,No,Manual,20.15,353.65,No
7271-AJDTL,female,0,Yes,No,55.0,Yes,Yes,fiber optic,No,Yes,Yes,No,Yes,No,Monthly,Yes,Credit card (automatic),94.45,5073.1,No
1867-TJHTS,female,0,No,No,58.0,Yes,Yes,fiber optic,Yes,No,No,No,No,No,Monthly,Yes,Bank transfer (automatic),79.8,4526.85,No
0516-WJVXC,female,0,No,No,5.0,Yes,No,dsl,Yes,No,No,Yes,No,No,Monthly,No,Manual,54.2,308.25,Yes
9174-FKWZE,female,1,No,No,1.0,Yes,No,no,No,No,No,No,No,No,Monthly,Yes,Manual,19.45,19.45,Yes
6860-YRJZP,male,1,No,No,9.0,Yes,Yes,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,74.05,678.45,No
4429-WYGFR,male,0,No,No,26.0,Yes,No,dsl,No,No,No,Yes,No,No,Monthly,No,Bank transfer (automatic),49.15,1237.3,No
2817-LVCPP,female,0,No,No,50.0,Yes,No,no,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.4,1023.95,No
5038-ETMLM,female,0,Yes,No,72.0,Yes,Yes,fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),113.65,8182.75,No
5056-FIMPT,female,0,No,Yes,43.0,Yes,No,fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),106.0,4532.3,No
4521-WFJAI,male,0,No,No,56.0,Yes,Yes,no,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),25.95,1444.05,No
6569-KTMDU,female,0,No,No,1.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,19.1,19.1,No
8809-RIHDD,male,0,Yes,Yes,72.0,Yes,Yes,fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Manual,103.4,7372.65,Yes
8809-XKHMD,male,0,Yes,No,72.0,Yes,Yes,fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),100.55,7325.1,No
0396-YCHWO,male,0,Yes,No,36.0,Yes,Yes,fiber optic,No,No,No,No,Yes,Yes,Monthly,Yes,Manual,95.4,3474.2,No
0867-LDTTC,male,0,No,No,5.0,Yes,No,dsl,No,No,Yes,Yes,Yes,Yes,Monthly,No,Bank transfer (automatic),75.15,392.65,No
4822-NGOCH,female,0,No,No,13.0,Yes,Yes,fiber optic,No,Yes,Yes,No,No,No,Monthly,Yes,Manual,84.45,1058.6,Yes
9391-DXGGG,female,1,No,No,44.0,Yes,No,fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),89.15,3990.75,No
9844-FELAJ,female,1,Yes,Yes,70.0,Yes,Yes,fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Manual,107.9,7475.85,No
2122-SZZZD,male,0,No,No,44.0,Yes,No,no,No,No,No,No,No,No,One year,No,Credit card (automatic),19.5,835.5,No
5307-DZCVC,female,1,Yes,No,32.0,Yes,Yes,fiber optic,No,No,No,No,Yes,No,Monthly,Yes,Credit card (automatic),85.95,2628.6,Yes
3148-AOIQT,female,0,Yes,No,69.0,Yes,Yes,no,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),24.95,1718.35,No
8679-JOEVF,female,1,No,No,16.0,Yes,No,dsl,No,No,No,Yes,Yes,No,Monthly,No,Manual,59.4,1023.9,Yes
8395-ETZKQ,male,1,Yes,Yes,68.0,Yes,No,no,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.5,1193.55,No
6692-YQHXC,male,0,No,No,16.0,Yes,No,fiber optic,No,No,No,No,No,No,Monthly,Yes,Credit card (automatic),69.95,1205.5,No
3889-VWBID,male,0,Yes,Yes,68.0,Yes,No,dsl,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),82.85,5776.45,No
5222-JCXZT,male,0,No,No,4.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,19.0,78.9,No
9754-CLVZW,female,0,Yes,Yes,26.0,No,No,dsl,Yes,Yes,No,Yes,No,No,Monthly,No,Credit card (automatic),38.85,1025.15,No
1432-FPAXX,female,0,No,No,29.0,No,No,dsl,No,Yes,No,No,No,No,Monthly,Yes,Manual,30.6,856.35,Yes
2739-CCZMB,male,0,No,Yes,5.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Credit card (automatic),20.35,122.0,No
7080-TNUWP,male,0,Yes,No,70.0,Yes,Yes,fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),95.0,6602.9,No
0496-AHOOK,male,0,Yes,No,24.0,Yes,No,dsl,Yes,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.4,1712.9,No
8336-TAVKX,female,1,Yes,No,72.0,Yes,Yes,dsl,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),78.45,5682.25,No
2468-SJFLM,male,0,No,No,1.0,Yes,No,fiber optic,No,No,No,Yes,No,No,Monthly,Yes,Manual,74.3,74.3,No
3181-VTHOE,male,0,Yes,No,70.0,No,No,dsl,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),51.05,3635.15,No
7168-HDQHG,female,0,Yes,Yes,36.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Bank transfer (automatic),19.2,702.9,No
4803-AXVYP,female,1,No,No,38.0,Yes,Yes,fiber optic,No,No,No,Yes,Yes,Yes,Monthly,Yes,Manual,99.55,3734.25,Yes
3884-HCSWG,female,0,No,No,17.0,Yes,No,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,70.0,1144.5,Yes
4567-AKPIA,female,0,Yes,Yes,41.0,Yes,Yes,fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.1,4454.25,No
5077-DXTCG,female,0,No,No,1.0,Yes,No,dsl,No,No,No,No,No,No,Monthly,Yes,Manual,45.3,45.3,Yes
1142-WACZW,male,0,No,No,2.0,No,No,dsl,No,No,No,Yes,No,No,Monthly,No,Bank transfer (automatic),29.85,75.6,Yes
7901-HXJVA,male,0,No,No,14.0,Yes,No,fiber optic,No,No,Yes,No,No,No,Monthly,No,Manual,76.45,1117.55,No
5649-ANRML,male,1,No,No,2.0,Yes,No,fiber optic,No,Yes,Yes,Yes,No,Yes,Monthly,Yes,Credit card (automatic),95.1,180.25,Yes
4892-VLANZ,male,0,No,No,1.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,19.8,19.8,Yes
5924-IFQTT,male,0,Yes,Yes,13.0,Yes,Yes,dsl,No,Yes,Yes,Yes,Yes,No,Monthly,Yes,Manual,72.8,930.05,No
7968-QUXNS,male,0,No,No,6.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,18.95,110.15,No
2919-HBCJO,female,0,No,No,4.0,Yes,No,fiber optic,No,Yes,No,No,No,No,Monthly,Yes,Bank transfer (automatic),76.65,333.6,Yes
4236-XPXAV,female,0,Yes,Yes,5.0,Yes,No,fiber optic,No,Yes,No,Yes,Yes,Yes,Monthly,Yes,Manual,99.15,465.05,Yes
8903-WMRNW,female,0,Yes,No,15.0,Yes,No,fiber optic,Yes,No,Yes,No,Yes,Yes,Monthly,No,Manual,101.75,1669.4,No
2452-SNHFZ,female,0,No,No,47.0,Yes,No,fiber optic,Yes,No,No,No,No,No,Monthly,No,Credit card (automatic),75.45,3545.1,No
3629-WEAAM,female,0,No,No,8.0,Yes,No,dsl,No,No,Yes,Yes,No,Yes,Monthly,No,Manual,64.1,504.05,No
6029-CSMJE,male,0,No,No,17.0,No,No,dsl,No,No,No,No,No,No,Monthly,Yes,Manual,25.65,440.2,No
7993-NQLJE,male,0,Yes,Yes,15.0,Yes,No,fiber optic,Yes,No,No,No,No,No,Monthly,No,Manual,75.1,1151.55,No
9909-DFRJA,female,0,No,No,26.0,Yes,No,fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),95.85,2475.35,No
9099-FTUHS,female,0,No,No,23.0,Yes,Yes,dsl,Yes,No,No,No,No,No,Monthly,No,Manual,54.4,1249.25,No
0581-BXBUB,female,1,No,No,4.0,Yes,No,fiber optic,No,Yes,No,No,No,No,Monthly,No,Manual,72.75,317.75,No
4962-CHQPW,male,0,No,Yes,29.0,Yes,No,no,No,No,No,No,No,No,One year,No,Manual,19.85,535.05,No
9467-ROOLM,female,0,No,No,25.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,19.05,461.3,No
3030-YZADT,male,0,No,No,9.0,Yes,No,dsl,No,No,No,No,No,No,Monthly,No,Manual,44.95,431.0,Yes
7410-KTVFV,male,0,Yes,No,18.0,Yes,No,dsl,No,No,Yes,No,No,No,Monthly,Yes,Manual,49.55,878.35,Yes
5150-ITWWB,male,1,No,No,3.0,Yes,Yes,fiber optic,No,No,No,No,Yes,Yes,Monthly,Yes,Manual,94.85,335.75,No
2253-KPMNB,female,0,Yes,Yes,69.0,No,No,dsl,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),46.25,3121.4,No
1345-ZUKID,male,0,No,No,14.0,Yes,No,no,No,No,No,No,No,No,One year,No,Manual,19.35,324.8,No
6429-SHBCB,male,0,No,No,19.0,Yes,Yes,dsl,No,No,No,No,Yes,Yes,Monthly,No,Manual,69.6,1394.55,No
9281-OFDMF,male,1,No,No,39.0,Yes,Yes,fiber optic,No,Yes,No,No,No,Yes,Monthly,No,Manual,90.7,3413.25,No
2603-HVKCG,male,0,No,No,31.0,Yes,No,fiber optic,No,Yes,Yes,No,Yes,Yes,Monthly,Yes,Manual,101.4,3143.65,No
1834-WULEG,male,0,Yes,Yes,24.0,Yes,No,no,No,No,No,No,No,No,One year,No,Manual,20.25,439.75,No
9097-ZUBYC,male,0,Yes,No,14.0,Yes,No,dsl,No,No,No,Yes,No,No,Monthly,No,Bank transfer (automatic),48.8,664.4,No
5148-ORICT,female,0,Yes,No,64.0,Yes,No,dsl,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Manual,74.35,4759.55,No
4893-GYUJU,female,0,No,No,50.0,Yes,No,no,No,No,No,No,No,No,One year,Yes,Manual,19.35,1033.0,No
4578-PHJYZ,male,0,Yes,Yes,52.0,Yes,No,dsl,No,Yes,Yes,Yes,Yes,No,One year,Yes,Manual,68.75,3482.85,No
7272-QDCKA,male,0,No,No,28.0,Yes,Yes,fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Manual,100.2,2688.45,No
8908-SLFCJ,female,0,No,No,21.0,Yes,No,no,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),20.85,435.25,No
8393-DLHGA,male,0,No,Yes,25.0,Yes,No,fiber optic,No,Yes,No,No,Yes,Yes,Monthly,Yes,Manual,95.9,2448.75,Yes
9766-HGEDE,female,0,Yes,No,17.0,Yes,No,no,No,No,No,No,No,No,One year,No,Manual,19.35,307.0,No
6968-MHOMU,male,0,Yes,No,58.0,No,No,dsl,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),45.0,2689.35,No
7395-IGJOS,male,1,Yes,No,17.0,Yes,No,fiber optic,No,No,No,No,No,Yes,Monthly,No,Bank transfer (automatic),81.5,1329.2,Yes
5044-XDPYX,female,0,Yes,No,51.0,Yes,Yes,no,No,No,No,No,No,No,Two year,No,Manual,25.5,1281.25,No
1814-WFGVS,male,0,Yes,Yes,72.0,No,No,dsl,Yes,No,Yes,Yes,Yes,No,Two year,No,Manual,48.9,3527.0,No
2834-SPCJV,male,0,Yes,No,52.0,Yes,No,fiber optic,Yes,No,No,No,Yes,No,Monthly,No,Manual,84.1,4348.65,Yes
3721-WKIIL,female,0,No,No,27.0,Yes,No,no,No,No,No,No,No,No,Two year,Yes,Manual,19.6,561.15,No
6734-CKRSM,female,0,No,No,3.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,20.0,63.6,No
